tract_fips,location_name,county_name,no_insurance_pct,high_bp_prevalence,heart_disease_prevalence,annual_checkup_pct,smoking_prevalence,diabetes_prevalence,obesity_prevalence,stroke_prevalence,CensusTract,State,County,Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,lapophalf,lapop1,lapop10,lalowihalf,lalowi1,lalowi10,health_risk_score,health_risk_category,is_food_desert,combined_risk
06001400100,6001400100,Alameda,2.7,31.3,6.3,76.6,6.3,9.1,18.0,2.8,6001400100.0,California,Alameda County,1.0,0.0,0.0,0.0,2898.25492637535,1710.51698767208,,291.225615998759,171.878035940463,,13.48,Medium Risk,False,Low Risk
06001400200,6001400200,Alameda,3.4,25.6,5.0,73.0,5.8,7.0,18.3,2.3,6001400200.0,California,Alameda County,1.0,0.0,0.0,0.0,,,,,,,11.860000000000001,Medium Risk,False,Low Risk
06001400300,6001400300,Alameda,3.7,25.9,4.8,72.4,6.8,7.4,19.9,2.5,6001400300.0,California,Alameda County,1.0,0.0,0.0,0.0,892.088104262948,,,115.0883428175,,,12.34,Medium Risk,False,Low Risk
06001400400,6001400400,Alameda,3.7,23.2,4.1,70.0,8.3,6.5,20.4,2.1,6001400400.0,California,Alameda County,1.0,0.0,0.0,0.0,79.8194282650948,,,15.7561132311821,,,11.580000000000002,Medium Risk,False,Low Risk
06001400500,6001400500,Alameda,4.7,24.6,4.0,69.5,10.0,7.2,22.7,2.4,6001400500.0,California,Alameda County,1.0,0.0,0.0,0.0,889.00391921401,,,196.492921538651,,,12.64,Medium Risk,False,Low Risk
06001400600,6001400600,Alameda,4.5,24.4,3.8,68.7,11.5,7.1,23.0,2.4,6001400600.0,California,Alameda County,1.0,0.0,0.0,0.0,1571.00003327616,,,269.556683494709,,,12.559999999999999,Medium Risk,False,Low Risk
06001400700,6001400700,Alameda,4.5,26.6,3.9,70.2,10.0,7.9,23.5,2.6,6001400700.0,California,Alameda County,1.0,0.0,0.0,0.0,4101.88319700211,,,1462.19174301997,,,13.280000000000001,Medium Risk,False,Low Risk
06001400800,6001400800,Alameda,4.9,25.4,4.1,69.7,9.8,7.9,22.1,2.6,6001400800.0,California,Alameda County,1.0,0.0,1.0,0.0,2026.58399657533,,,779.058290003799,,,12.88,Medium Risk,False,Low Risk
06001400900,6001400900,Alameda,5.7,24.6,3.7,68.6,12.4,7.5,24.1,2.5,6001400900.0,California,Alameda County,1.0,0.0,1.0,0.0,1893.54196810722,,,626.79857622087,,,13.12,Medium Risk,False,Low Risk
06001401000,6001401000,Alameda,6.4,23.2,3.5,68.5,10.4,7.3,23.3,2.3,6001401000.0,California,Alameda County,1.0,0.0,1.0,0.0,4071.25205035461,,,1176.35079639527,,,12.739999999999998,Medium Risk,False,Low Risk
06001401100,6001401100,Alameda,5.9,20.7,3.0,67.0,9.6,6.1,21.7,1.9,6001401100.0,California,Alameda County,1.0,0.0,0.0,0.0,3606.85965523217,,,1014.73621856002,,,11.48,Medium Risk,False,Low Risk
06001401200,6001401200,Alameda,4.1,21.2,3.4,68.8,7.7,6.1,20.6,1.9,6001401200.0,California,Alameda County,1.0,0.0,0.0,0.0,593.110101699829,,,130.256316632032,,,11.08,Medium Risk,False,Low Risk
06001401300,6001401300,Alameda,6.2,25.6,4.2,68.4,10.2,8.2,22.5,2.5,6001401300.0,California,Alameda County,1.0,0.0,0.0,0.0,0.0,,,0.0,,,13.34,Medium Risk,False,Low Risk
06001401400,6001401400,Alameda,10.1,28.9,4.8,68.7,16.0,10.3,28.7,3.4,6001401400.0,California,Alameda County,1.0,0.0,0.0,0.0,124.675993442535,,,63.5460958480835,,,16.559999999999995,High Risk,False,High Risk: Disease Only
06001401500,6001401500,Alameda,8.1,28.7,4.5,68.2,16.3,9.5,27.8,3.2,6001401500.0,California,Alameda County,1.0,0.0,0.0,0.0,,,,,,,15.719999999999999,High Risk,False,High Risk: Disease Only
06001401600,6001401600,Alameda,8.8,25.6,4.0,67.3,14.0,8.5,26.4,2.6,6001401600.0,California,Alameda County,1.0,0.0,0.0,0.0,1.32227492332458,,,0.628381431102753,,,14.66,Medium Risk,False,Low Risk
