tract_fips,location_name,county_name,no_insurance_pct,high_bp_prevalence,heart_disease_prevalence,annual_checkup_pct,smoking_prevalence,diabetes_prevalence,obesity_prevalence,stroke_prevalence,CensusTract,State,County,Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,lapophalf,lapop1,lapop10,lalowihalf,lalowi1,lalowi10,health_risk_score,health_risk_category,is_food_desert,combined_risk
06085500100,6085500100,Santa Clara,11.3,19.4,3.3,64.0,9.8,8.5,25.9,1.9,6085500100.0,California,Santa Clara County,1.0,0.0,1.0,0.0,1451.62757896632,,,371.940618498251,,,13.680000000000001,Medium Risk,False,Low Risk
06085500200,6085500200,Santa Clara,9.3,19.1,3.3,63.2,9.7,7.6,25.6,1.9,6085500200.0,California,Santa Clara County,1.0,0.0,0.0,0.0,2530.75989851356,,,127.982743225992,,,12.98,Medium Risk,False,Low Risk
06085500300,6085500300,Santa Clara,8.3,22.1,4.2,65.4,10.5,9.2,27.3,2.3,6085500300.0,California,Santa Clara County,1.0,0.0,0.0,0.0,197.288399569225,,,119.961939194822,,,14.220000000000002,Medium Risk,False,Low Risk
06085500400,6085500400,Santa Clara,6.6,24.1,4.6,67.1,8.7,9.2,25.9,2.3,6085500400.0,California,Santa Clara County,1.0,0.0,1.0,0.0,1542.76885187626,,,295.123580950312,,,14.079999999999998,Medium Risk,False,Low Risk
06085500500,6085500500,Santa Clara,5.4,28.6,6.0,71.4,8.7,11.0,25.9,3.0,6085500500.0,California,Santa Clara County,1.0,0.0,0.0,0.0,211.173358298838,,,13.4841004949994,,,15.38,High Risk,False,High Risk: Disease Only
06085500600,6085500600,Santa Clara,6.8,22.5,4.3,66.2,9.7,8.7,25.4,2.3,6085500600.0,California,Santa Clara County,1.0,0.0,0.0,0.0,837.234337199479,,,142.217186556547,,,13.540000000000001,Medium Risk,False,Low Risk
06085500800,6085500800,Santa Clara,7.2,21.2,3.5,64.5,9.2,7.8,25.1,1.9,6085500800.0,California,Santa Clara County,1.0,0.0,0.0,0.0,883.471090853214,,,320.251714289188,,,12.960000000000003,Medium Risk,False,Low Risk
06085500901,6085500901,Santa Clara,8.7,21.7,4.4,65.1,11.3,9.5,26.0,2.6,6085500901.0,California,Santa Clara County,1.0,0.0,0.0,0.0,,,,,,,14.059999999999999,Medium Risk,False,Low Risk
06085500902,6085500902,Santa Clara,14.3,12.6,1.9,60.4,10.2,4.2,25.8,1.3,6085500902.0,California,Santa Clara County,1.0,0.0,0.0,0.0,,,,,,,11.76,Medium Risk,False,Low Risk
06085501000,6085501000,Santa Clara,14.3,27.4,5.2,65.4,12.1,11.5,28.9,3.0,6085501000.0,California,Santa Clara County,1.0,0.0,0.0,0.0,,,,,,,17.46,High Risk,False,High Risk: Disease Only
06085501101,6085501101,Santa Clara,8.3,23.9,4.5,66.8,10.0,10.4,25.1,2.5,6085501101.0,California,Santa Clara County,1.0,0.0,0.0,0.0,,,,,,,14.440000000000001,Medium Risk,False,Low Risk
06085501102,6085501102,Santa Clara,11.8,24.5,4.8,64.3,11.6,11.1,28.6,2.6,6085501102.0,California,Santa Clara County,1.0,0.0,1.0,0.0,1325.29782864661,,,376.287754741032,,,16.16,High Risk,False,High Risk: Disease Only
